time_milisecc,gx,gy,gz
1421632171805.00,-1.0242821,-2.2489436,-2.227627
1421632171805.00,-0.5990083,-1.9728886,-1.131933
1421632171806.00,0.075675055,-2.2180343,-0.6885395
1421632171819.00,0.75248975,-1.9355838,-0.36665285
1421632171840.00,1.312061,-1.2896789,0.052226186
1421632171858.00,2.1562142,0.093794405,0.47536892
1421632171880.00,2.9811819,1.1425906,0.9304869
1421632171899.00,3.0003674,1.929188,1.3685511
1421632171918.00,0.2366184,0.7439631,0.59367824
1421632171938.00,-3.45442,1.4740701,-0.8057831
1421632171958.00,-0.3240188,7.0889683,-1.2790204
1421632171978.00,-0.66722226,4.4030256,-0.11404615
1421632171999.00,-1.2001474,2.0848024,0.46257856
1421632172018.00,-0.31016266,-0.54038626,2.3416722
1421632172039.00,0.30483288,-0.9720554,1.5348237
1421632172062.00,0.23555261,-0.328282,2.4717057
1421632172079.00,1.6776474,-3.5215688,1.995271
1421632172135.00,4.967926,-3.8434556,1.4740701
1421632172136.00,3.726211,1.0445325,1.0296109
1421632172145.00,2.8255682,1.6883059,0.05542411
1421632172159.00,3.0259478,1.1617761,-0.3176235
1421632172180.00,2.7029953,1.3451024,0.12577018
1421632172198.00,1.3856049,0.24301371,0.27818662
1421632172218.00,-0.029844182,-0.6320494,0.20464262
1421632172239.00,-0.29417464,0.33893973,0.47643474
1421632172258.00,-1.5497462,-0.24834323,0.360257
1421632172278.00,-1.7373358,-1.0519942,0.047962997
1421632172298.00,-1.7479943,-1.5678657,-0.38690403
1421632172318.00,-2.2766557,-1.9004108,-0.61925924
1421632172338.00,-3.0739117,-2.3011703,-0.6981322
1421632172359.00,-3.1112165,-1.9451766,-0.904907
1421632172378.00,-3.1751673,-2.5910816,-1.8332623
1421632172398.00,-3.0110264,-0.95287025,-1.7948915
1421632172463.00,-2.9694583,0.8654698,-1.1244718
1421632172463.00,-1.9345181,3.33611,-0.34746715
1421632172464.00,-0.656564,0.89957696,-1.8758961
1421632172479.00,-1.0306774,-2.5260646,-2.5154061
1421632172498.00,-0.7162516,-2.6443741,-1.3355103
1421632172519.00,-0.036239497,-2.6401107,-0.77700466
1421632172538.00,0.49561986,-2.4706407,-0.5435837
1421632172559.00,1.0605203,-1.7607846,-0.12044146
1421632172581.00,1.7490596,-0.42527434,0.25686935
1421632172598.00,2.9065726,1.1820272,0.64057547
1421632172621.00,3.3670197,2.2691941,0.9763183
1421632172639.00,2.7061927,2.248943,1.4005266
1421632172659.00,-2.4546528,0.12577018,-0.06608315
1421632172678.00,-2.516472,3.4778683,-0.6491029
1421632172698.00,0.5947441,4.5128083,-0.51693743
1421632172767.00,-1.1244718,2.8650045,0.13109916
1421632172768.00,-0.8814581,2.705127,1.042401
1421632172769.00,0.12470385,0.7770041,0.7482263
1421632172778.00,0.38796905,-0.19185333,1.4740701
1421632172798.00,0.33147913,-0.94754124,2.7008638
1421632172818.00,2.3544624,-3.2455137,1.7277426
1421632172838.00,4.552245,-2.6251886,1.3141928
1421632172861.00,3.0056965,0.90490645,0.94967204
