time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421109984882,18:46:24.882,21.7,23.8,6.6,38.1,19.3,9.3,13.3,7.9,-1.493,-1.420,-1.376,,
1421109984885,18:46:24.885,23.3,15.2,8.2,25.7,27.5,7.8,13.3,3.2,-1.483,-1.435,-1.366,,
1421109984913,18:46:24.913,23.3,20.3,8.2,25.7,20.9,4.7,13.3,9.5,-1.527,-1.449,-1.391,,
1421109984949,18:46:24.949,31.2,22.0,18.2,24.1,17.7,9.3,11.6,9.5,-1.478,-1.420,-1.366,,
1421109984973,18:46:24.973,24.9,20.3,16.6,22.6,11.2,1.5,15.0,7.9,-1.469,-1.430,-1.337,,
1421109985011,18:46:25.010,44.2,30.7,6.6,28.7,20.9,10.9,3.3,7.9,-1.488,-1.430,-1.381,,
1421109985034,18:46:25.034,24.9,20.3,8.2,24.1,19.3,9.3,11.6,11.1,-1.478,-1.410,-1.366,,
1421109985078,18:46:25.078,23.3,18.6,8.2,25.7,17.7,9.3,15.0,6.3,-1.483,-1.483,-1.366,,
1421109985095,18:46:25.095,24.9,23.8,13.2,24.1,24.2,7.8,11.6,3.2,-1.483,-1.415,-1.361,,
1421109985129,18:46:25.129,23.3,22.0,14.9,25.7,17.7,7.8,15.0,9.5,-1.518,-1.430,-1.405,,
1421109985160,18:46:25.160,31.2,22.0,18.2,24.1,17.7,9.3,11.6,9.5,-1.483,-1.420,-1.361,,
1421109985163,18:46:25.163,18.6,22.0,18.2,21.1,17.7,6.2,13.3,4.7,-1.493,-1.425,-1.366,,
1421109985183,18:46:25.183,28.0,23.8,8.2,28.7,22.6,9.3,1.6,6.3,-1.464,-1.459,-1.371,,
1421109985225,18:46:25.225,31.2,25.5,8.2,25.7,17.7,9.3,11.6,7.9,-1.483,-1.469,-1.366,,
1421109985250,18:46:25.250,24.9,18.6,9.9,24.1,19.3,9.3,13.3,16.0,-1.498,-1.435,-1.386,,
1421109985287,18:46:25.287,23.3,16.9,11.5,24.1,25.8,7.8,11.6,3.2,-1.513,-1.420,-1.361,,
